player_name,group,match_id,team_1,team_2,pred_goal_1,pred_goal_2,Date,Time
Nina,A,A1,DE,FIN,2,3,15/05/2026,15:20
Saoirse,A,A1,DE,FIN,2,4,15/05/2026,15:20
Luki,A,A1,DE,FIN,1,5,15/05/2026,15:20
Stefan,A,A1,DE,FIN,2,4,15/05/2026,15:20
Susanne,A,A1,DE,FIN,1,2,15/05/2026,15:20
Charlotte,A,A1,DE,FIN,1,4,15/05/2026,15:20
Nina,A,A2,SUI,USA,2,4,15/05/2026,19:20
Saoirse,A,A2,SUI,USA,1,3,15/05/2026,19:20
Luki,A,A2,SUI,USA,2,3,15/05/2026,19:20
Stefan,A,A2,SUI,USA,2,5,15/05/2026,19:20
Susanne,A,A2,SUI,USA,1,2,15/05/2026,19:20
Charlotte,A,A2,SUI,USA,3,2,15/05/2026,19:20
Nina,A,A3,AUT,GB,2,1,16/05/2026,11:20
Saoirse,A,A3,AUT,GB,2,0,16/05/2026,11:20
Luki,A,A3,AUT,GB,3,0,16/05/2026,11:20
Stefan,A,A3,AUT,GB,5,2,16/05/2026,11:20
Susanne,A,A3,AUT,GB,3,0,16/05/2026,11:20
Charlotte,A,A3,AUT,GB,3,2,16/05/2026,11:20
Nina,A,A4,FIN,HUN,3,1,16/05/2026,15:20
Saoirse,A,A4,FIN,HUN,2,0,16/05/2026,15:20
Luki,A,A4,FIN,HUN,6,0,16/05/2026,15:20
Stefan,A,A4,FIN,HUN,6,1,16/05/2026,15:20
Susanne,A,A4,FIN,HUN,2,0,16/05/2026,15:20
Charlotte,A,A4,FIN,HUN,5,0,16/05/2026,15:20
Nina,A,A5,LAT,SUI,1,4,16/05/2026,19:20
Saoirse,A,A5,LAT,SUI,1,2,16/05/2026,19:20
Luki,A,A5,LAT,SUI,2,4,16/05/2026,19:20
Stefan,A,A5,LAT,SUI,2,4,16/05/2026,19:20
Susanne,A,A5,LAT,SUI,1,3,16/05/2026,19:20
Charlotte,A,A5,LAT,SUI,1,5,16/05/2026,19:20
Nina,A,A6,GB,USA,0,4,17/05/2026,11:20
Saoirse,A,A6,GB,USA,1,5,17/05/2026,11:20
Luki,A,A6,GB,USA,0,9,17/05/2026,11:20
Stefan,A,A6,GB,USA,1,7,17/05/2026,11:20
Susanne,A,A6,GB,USA,1,4,17/05/2026,11:20
Charlotte,A,A6,GB,USA,0,4,17/05/2026,11:20
Nina,A,A7,AUT,HUN,3,1,17/05/2026,15:20
Saoirse,A,A7,AUT,HUN,1,0,17/05/2026,15:20
Luki,A,A7,AUT,HUN,3,1,17/05/2026,15:20
Stefan,A,A7,AUT,HUN,5,2,17/05/2026,15:20
Susanne,A,A7,AUT,HUN,2,1,17/05/2026,15:20
Charlotte,A,A7,AUT,HUN,1,2,17/05/2026,15:20
