match_id,group,team_1,team_2,actual_goal_1,actual_goal_2
A1,A,DE,FIN,1,3
A2,A,SUI,USA,3,1
A3,A,AUT,GB,,
A4,A,FIN,HUN,,
A5,A,LAT,SUI,,
A6,A,GB,USA,,
A7,A,AUT,HUN,,
A8,A,DE,LAT,,
A9,A,FIN,USA,,
A10,A,DE,SUI,,
A11,A,AUT,LAT,,
A12,A,GB,HUN,,
A13,A,AUT,SUI,,
A14,A,DE,USA,,
A15,A,FIN,LAT,,
A16,A,GB,SUI,,
A17,A,DE,HUN,,
A18,A,FIN,GB,,
A19,A,LAT,USA,,
A20,A,HUN,SUI,,
A21,A,AUT,DE,,
A22,A,GB,LAT,,
A23,A,AUT,FIN,,
A24,A,HUN,USA,,
A25,A,DE,GB,,
A26,A,HUN,LAT,,
A27,A,AUT,USA,,
A28,A,SUI,FIN,,
B1,B,CAN,SWE,5,3
B2,B,CZE,DEN,4,1
B3,B,NOR,SVK,,
B4,B,CAN,ITA,,
B5,B,CZE,SLO,,
B6,B,ITA,SVK,,
B7,B,DEN,SWE,,
B8,B,NOR,SLO,,
B9,B,CAN,DEN,,
B10,B,CZE,SWE,,
B11,B,ITA,NOR,,
B12,B,SLO,SVK,,
B13,B,CZE,ITA,,
B14,B,SLO,SWE,,
B15,B,CAN,NOR,,
B16,B,DEN,SVK,,
B17,B,CAN,SLO,,
B18,B,ITA,SWE,,
B19,B,DEN,SLO,,
B20,B,CZE,SVK,,
B21,B,NOR,SWE,,
B22,B,DEN,ITA,,
B23,B,CAN,SVK,,
B24,B,CZE,NOR,,
B25,B,ITA,SLO,,
B26,B,DEN,NOR,,
B27,B,SVK,SWE,,
B28,B,CAN,CZE,,
